course_id,subject,course_number,prereq_subject,prereq_number
156293,MATH,124,MATH,55
114527,MATH,125A,MATH,104
114527,MATH,125A,MATH,113
114535,MATH,135,MATH,104
114535,MATH,135,MATH,113
114536,MATH,136,MATH,104
114536,MATH,136,MATH,113
163246,MATH,156,MATH,53
163246,MATH,156,MATH,54
163246,MATH,156,MATH,56
163246,MATH,156,MATH,91
114500,MATH,52,MATH,51
162988,MATH,56,MATH,52
162988,MATH,56,MATH,1B
162988,MATH,56,MATH,N1B
162988,MATH,56,MATH,10B
162988,MATH,56,MATH,N10B
114797,MATSCI,123,PHYSICS,7C
164847,MATSCI,131,ENGIN,29
164847,MATSCI,131,PHYSICS,7A
164847,MATSCI,131,ENGIN,26
161632,MATSCI,159,ENGIN,40
161632,MATSCI,159,PHYSICS,5C
161632,MATSCI,159,CHEM,120B
116892,MBN,103,MCELLBI,102
116892,MBN,103,MCELLBI,32
116897,MBN,108A,BIOLOGY,102
116914,MBN,170,MBN,103
116916,MBN,190,MBN,103
115079,MCELLBI,102,BIOLOGY,1A
115079,MCELLBI,102,CHEM,3B
115081,MCELLBI,104,BIOLOGY,1A
162779,MCELLBI,120,MCELLBI,104
162779,MCELLBI,120,MCELLBI,C100A
162779,MCELLBI,120,CHEM,C130
162779,MCELLBI,120,MCELLBI,102
163301,MCELLBI,120L,MCELLBI,C100A
163301,MCELLBI,120L,MCELLBI,102
115114,MCELLBI,132,BIOLOGY,1A
115114,MCELLBI,132,BIOLOGY,1AL
115114,MCELLBI,132,BIOLOGY,1B
115114,MCELLBI,132,MCELLBI,102
115114,MCELLBI,132,MCELLBI,110
115114,MCELLBI,132,MCELLBI,104
115116,MCELLBI,133L,BIOLOGY,1A
115119,MCELLBI,135A,BIOLOGY,1A
115119,MCELLBI,135A,MCELLBI,102
115119,MCELLBI,135A,MCELLBI,C110A
115119,MCELLBI,135A,CHEM,C130
115130,MCELLBI,136,BIOLOGY,1A
115130,MCELLBI,136,BIOLOGY,1AL
115130,MCELLBI,136,BIOLOGY,1B
115130,MCELLBI,136,PHYSICS,8A
115130,MCELLBI,136,PHYSICS,8B
115135,MCELLBI,140,BIOLOGY,1A
115135,MCELLBI,140,BIOLOGY,1AL
115137,MCELLBI,141,BIOLOGY,1A
115137,MCELLBI,141,BIOLOGY,1AL
115137,MCELLBI,141,BIOLOGY,1B
115137,MCELLBI,141,BIOLOGY,110
115137,MCELLBI,141,BIOLOGY,130
115139,MCELLBI,143,BIOLOGY,1A
115139,MCELLBI,143,BIOLOGY,1B
115139,MCELLBI,143,BIOLOGY,C100A
115139,MCELLBI,143,BIOLOGY,102
115139,MCELLBI,143,BIOLOGY,104
115139,MCELLBI,143,BIOLOGY,140
115140,MCELLBI,149,MCELLBI,110
115140,MCELLBI,149,MCELLBI,140
115140,MCELLBI,149,MCELLBI,104
115143,MCELLBI,150L,BIOLOGY,150
