course_id,subject,course_number,prereq_subject,prereq_number
102891,CHEM,1AL,CHEM,1A
103002,CHEM,3A,CHEM,1A
103003,CHEM,3AL,CHEM,1A
103003,CHEM,3AL,CHEM,1AL
103003,CHEM,3AL,CHEM,4A
103003,CHEM,3AL,CHEM,3A
103004,CHEM,3B,CHEM,3A
103005,CHEM,3BL,CHEM,3AL
103005,CHEM,3BL,CHEM,3B
124354,MCELLBI,C100A,CHEM,3A
124354,MCELLBI,C100A,CHEM,112A
124354,MCELLBI,C100A,MATH,51
124354,MCELLBI,C100A,BIOLOGY,1A
124354,MCELLBI,C100A,BIOLOGY,1AL
124354,MCELLBI,C100A,CHEM,3B
124354,MCELLBI,C100A,CHEM,112B
124342,MATSCI,C150,CHEM,104A
124342,MATSCI,C150,CHEM,104B
166746,PHYSICS,C191A,ELENG,66
166746,PHYSICS,C191A,PHYSICS,89
166746,PHYSICS,C191A,MATH,54
166746,PHYSICS,C191A,PHYSICS,137A
166746,PHYSICS,C191A,MATH,55
103169,CHINESE,100A,CHINESE,10
103169,CHINESE,100A,CHINESE,10B
103180,CHINESE,102,CHINESE,100B
103180,CHINESE,102,CHINESE,100XB
103162,CHINESE,10A,CHINESE,1
103162,CHINESE,10A,CHINESE,1B
103189,CHINESE,110A,CHINESE,10
103189,CHINESE,110A,CHINESE,10B
103189,CHINESE,110A,CHINESE,10X
103189,CHINESE,110A,CHINESE,10Y
103192,CHINESE,111,CHINESE,101
103192,CHINESE,111,CHINESE,102
103198,CHINESE,134,CHINESE,110B
103219,CHINESE,156,CHINESE,100A
103219,CHINESE,156,CHINESE,100XA
163293,CHINESE,4B,CHINESE,4A
103322,CHMENG,140,PHYSICS,7B
103423,CIVENG,100,PHYSICS,7A
103423,CIVENG,100,MATH,53
103423,CIVENG,100,ENGIN,7
103434,CIVENG,11,CHEM,1A
103434,CIVENG,11,MATH,51
158541,CIVENG,126,ENGIN,7
160653,CIVENG,170A,ENGIN,7
166029,CIVENG,187,DATA,C8
103515,CIVENG,193,CIVENG,93
103727,CIVENG,70,CHEM,1A
103732,CIVENG,93,ENGIN,7
103732,CIVENG,93,COMPSCI,C8
103732,CIVENG,93,INFO,C8
103732,CIVENG,93,STAT,C8
124482,CIVENG,C103N,CHEM,1A
124482,CIVENG,C103N,MATH,51
124482,CIVENG,C103N,MATH,52
124482,CIVENG,C103N,PHYSICS,7A
124408,MECENG,C85,PHYSICS,7A
162170,CMPBIO,C176,COMPSCI,70
162170,CMPBIO,C176,COMPSCI,170
162170,CMPBIO,C176,MATH,54
162170,CMPBIO,C176,ELENG,66
161508,COGSCI,132,COMPSCI,61A
161508,COGSCI,132,COGSCI,1
161508,COGSCI,132,COGSCI,1B
161508,COGSCI,132,MATH,51
161508,COGSCI,132,MATH,10A
161508,COGSCI,132,MATH,16A
161508,COGSCI,132,MATH,55
162516,COGSCI,146,COGSCI,1
162516,COGSCI,146,COGSCI,1B
162516,COGSCI,146,COGSCI,N1
123950,PSYCH,C127,PSYCH,110
123950,PSYCH,C127,PSYCH,C120
123950,PSYCH,C127,PSYCH,C127
124257,PSYCH,C123,COGSCI,1
124257,PSYCH,C123,COGSCI,1B
104274,COMPSCI,160,COMPSCI,61B
104274,COMPSCI,160,COMPSCI,61BL
104275,COMPSCI,161,COMPSCI,61B
104275,COMPSCI,161,COMPSCI,61C
104275,COMPSCI,161,COMPSCI,70
104276,COMPSCI,162,COMPSCI,61B
104276,COMPSCI,162,COMPSCI,61C
104276,COMPSCI,162,COMPSCI,70
104277,COMPSCI,164,COMPSCI,61B
104277,COMPSCI,164,COMPSCI,61C
104279,COMPSCI,168,COMPSCI,61B
104279,COMPSCI,168,COMPSCI,61C
159628,COMPSCI,169A,COMPSCI,C88C
159628,COMPSCI,169A,DATA,C88C
159628,COMPSCI,169A,COMPSCI,61A
159628,COMPSCI,169A,COMPSCI,47A
159628,COMPSCI,169A,COMPSCI,61B
159628,COMPSCI,169A,COMPSCI,61BL
159628,COMPSCI,169A,COMPSCI,47B
104281,COMPSCI,170,COMPSCI,61B
104281,COMPSCI,170,COMPSCI,70
158566,COMPSCI,171,COMPSCI,70
104282,COMPSCI,172,COMPSCI,170
163492,COMPSCI,180,COMPSCI,61B
163492,COMPSCI,180,MATH,53
163492,COMPSCI,180,MATH,54
163492,COMPSCI,180,MATH,56
163492,COMPSCI,180,MATH,110
163492,COMPSCI,180,ELENG,66
163492,COMPSCI,180,COMPSCI,C182
163492,COMPSCI,180,COMPSCI,189
104285,COMPSCI,184,COMPSCI,61B
104285,COMPSCI,184,MATH,54
104285,COMPSCI,184,MATH,110
104286,COMPSCI,186,COMPSCI,61C
104286,COMPSCI,186,COMPSCI,47C
104287,COMPSCI,188,COMPSCI,61A
104287,COMPSCI,188,COMPSCI,61B
104287,COMPSCI,188,COMPSCI,70
104288,COMPSCI,189,MATH,53
104288,COMPSCI,189,MATH,54
104288,COMPSCI,189,COMPSCI,70
155319,COMPSCI,36,COMPSCI,61A
104413,COMPSCI,47A,COMPSCI,61B
104413,COMPSCI,47A,COMPSCI,9D
104414,COMPSCI,47B,COMPSCI,9G
104415,COMPSCI,47C,COMPSCI,9C
104424,COMPSCI,61A,MATH,1A
104424,COMPSCI,61A,MATH,10A
104424,COMPSCI,61A,MATH,16A
104426,COMPSCI,61B,COMPSCI,61A
104426,COMPSCI,61B,COMPSCI,88
104426,COMPSCI,61B,ENGIN,7
148047,DATA,C100,DATA,C8
148047,DATA,C100,STAT,20
148047,DATA,C100,COMPSCI,61A
148047,DATA,C100,DATA,C88C
148047,DATA,C100,ENGIN,7
148047,DATA,C100,MATH,54
148047,DATA,C100,MATH,56
148047,DATA,C100,MATH,110
148047,DATA,C100,ELENG,66
148047,DATA,C100,PHYSICS,89
148047,DATA,C100,DATA,C100
157126,DATA,C182,MATH,53
157126,DATA,C182,MATH,54
157126,DATA,C182,COMPSCI,61B
157126,DATA,C182,COMPSCI,70
157126,DATA,C182,STAT,134
157126,DATA,C182,COMPSCI,189
161885,DATA,C101,COMPSCI,61B
161885,DATA,C101,INFO,206B
161885,DATA,C101,COMPSCI,C100
161885,DATA,C101,DATA,C100
161885,DATA,C101,STAT,C100
161885,DATA,C101,COMPSCI,189
161885,DATA,C101,INFO,251
161885,DATA,C101,DATA,144
166715,DATA,C146,DATA,C100
166715,DATA,C146,DATA,C140
158608,DATA,144,STAT,C100
158608,DATA,144,DATA,144
166752,DATA,145,MATH,53
166752,DATA,145,DATA,C100
166752,DATA,145,DATA,C140
166752,DATA,145,EECS,126
158609,DATA,88,DATA,8
158609,DATA,88,INFO,C8
161103,DATA,88E,DATA,C8
167816,DATA,89,MATH,51
167816,DATA,89,MATH,1A
167816,DATA,89,MATH,16A
167816,DATA,89,MATH,10A
167816,DATA,89,DATA,C8
167816,DATA,89,STAT,20
167816,DATA,89,COMPSCI,61A
167816,DATA,89,DATA,C88C
158326,DATA,C102,MATH,54
158326,DATA,C102,MATH,56
158326,DATA,C102,MATH,110
158326,DATA,C102,STAT,89A
158326,DATA,C102,PHYSICS,89
158326,DATA,C102,ELENG,64
158326,DATA,C102,ELENG,66
158326,DATA,C102,COMPSCI,C100
158326,DATA,C102,EECS,126
158326,DATA,C102,STAT,C140
158326,DATA,C102,STAT,134
158326,DATA,C102,INDENG,172
158326,DATA,C102,MATH,106
122018,DATA,C131A,STAT,C8
122018,DATA,C131A,STAT,20
122018,DATA,C131A,MATH,1A
122018,DATA,C131A,MATH,51
122018,DATA,C131A,MATH,16A
122018,DATA,C131A,MATH,10A
122018,DATA,C131A,MATH,10B
122018,DATA,C131A,STAT,33A
122018,DATA,C131A,STAT,133
148015,DATA,C140,STAT,C8
148015,DATA,C140,STAT,20
148015,DATA,C140,COMPSCI,61A
148015,DATA,C140,DATA,C88C
148015,DATA,C140,MATH,1A
148015,DATA,C140,MATH,1B
148015,DATA,C140,MATH,51
148015,DATA,C140,MATH,52
148015,DATA,C140,MATH,54
148015,DATA,C140,MATH,56
148015,DATA,C140,ELENG,64
148015,DATA,C140,MATH,110
148015,DATA,C140,STAT,C140
125442,STAT,C88S,MATH,16A
125442,STAT,C88S,MATH,10A
125442,STAT,C88S,MATH,1A
125442,STAT,C88S,MATH,51
125442,STAT,C88S,COMPSCI,C8
125442,STAT,C88S,DATA,C8
125442,STAT,C88S,INFO,C8
125442,STAT,C88S,STAT,C8
105169,ECON,100A,ECON,1
105169,ECON,100A,ECON,2
105169,ECON,100A,ECON,C3
105169,ECON,100A,ECON,16A
105169,ECON,100A,ECON,16B
105170,ECON,100B,ECON,1
105170,ECON,100B,ECON,2
105170,ECON,100B,ECON,16A
105171,ECON,101A,ECON,1
105171,ECON,101A,ECON,2
105172,ECON,101B,ECON,1
105172,ECON,101B,ECON,2
105172,ECON,101B,ECON,52
105179,ECON,109,ECON,1
105179,ECON,109,ECON,2
105179,ECON,109,MATH,51
105179,ECON,109,MATH,52
161422,ECON,130,ECON,1
161422,ECON,130,ECON,2
105195,ECON,134,ECON,100B
105195,ECON,134,ECON,101B
105195,ECON,134,ECON,140
105195,ECON,134,ECON,141
105195,ECON,134,IAS,C118
158556,ECON,135,ECON,100B
158556,ECON,135,ECON,101B
158556,ECON,135,ECON,16A
158556,ECON,135,ECON,16B
148038,ECON,139,ECON,100A
148038,ECON,139,ECON,101A
148038,ECON,139,MATH,54
105199,ECON,140,ECON,1
105199,ECON,140,ECON,2
105199,ECON,140,ECON,21
105199,ECON,140,ECON,88
105199,ECON,140,ECON,131A
105199,ECON,140,ECON,135
105200,ECON,141,ECON,1
105200,ECON,141,ECON,2
105200,ECON,141,ECON,21
105200,ECON,141,ECON,88
105200,ECON,141,ECON,131A
105200,ECON,141,ECON,135
105200,ECON,141,MATH,53
105200,ECON,141,MATH,54
125369,ECON,155A,ECON,100A
125369,ECON,155A,ECON,101A
125369,ECON,155A,ECON,140
125369,ECON,155A,ECON,141
163285,ECON,165,ECON,100B
163285,ECON,165,ECON,101B
163285,ECON,165,ECON,140
163285,ECON,165,ECON,141
163285,ECON,165,IAS,C118
105215,ECON,174,ECON,100A
105215,ECON,174,ECON,101A
105215,ECON,174,ECON,100B
105215,ECON,174,ECON,101B
105215,ECON,174,ECON,140
105215,ECON,174,ECON,141
105215,ECON,174,IAS,C118
124277,ENVECON,C102,ECON,100A
124277,ENVECON,C102,ECON,100B
124209,MATH,C103,MATH,53
124209,MATH,C103,MATH,54
124287,ENVECON,C101,ECON,100A
124287,ENVECON,C101,ECON,101A
123919,ENVECON,C151,ENVECON,100
123919,ENVECON,C151,ECON,100A
123919,ENVECON,C151,ECON,101A
123919,ENVECON,C151,ECON,140
123919,ENVECON,C151,ECON,141
123919,ENVECON,C151,IAS,C118
124120,ECON,C181,ECON,100A
124120,ECON,C181,ECON,100B
124120,ECON,C181,ECON,101A
124120,ECON,C181,ECON,101B
159970,ECON,C184,ENVECON,100
159970,ECON,C184,ECON,101A
159970,ECON,C184,ECON,100A
164431,ENVECON,C188,ENVECON,100
164431,ENVECON,C188,ECON,100
164431,ENVECON,C188,ECON,101A
164431,ENVECON,C188,ECON,140
164431,ENVECON,C188,ECON,141
164431,ENVECON,C188,ECON,16B
161115,EDSTEM,187,EDUC,131AC
122662,EDUC,C122,UGIS,82
154785,EDUC,144,EDUC,W144
154316,EECS,126,COMPSCI,70
106302,EECS,127,ELENG,66
106302,EECS,127,ELENG,64
106318,EECS,144,ELENG,66
106318,EECS,144,ELENG,64
