course,requirement_group,option_id,prerequisite
DATA C101,1,1,COMPSCI 61B
DATA C101,1,2,INFO 206B
DATA C101,2,1,COMPSCI 189
DATA C101,2,2,COMPSCI C100
DATA C101,2,3,DATA 144
DATA C101,2,4,DATA C100
DATA C101,2,5,INFO 251
DATA C101,2,6,STAT C100
DATA C146,1,1,DATA C100
DATA C146,2,1,DATA C140
DATA 144,1,2,STAT C100
DATA 145,1,1,DATA C100
DATA 145,1,2,DATA C140
DATA 145,1,3,EECS 126
DATA 145,1,4,MATH 53
DATA 88,1,1,DATA 8
DATA 88,1,2,INFO C8
DATA 88E,1,1,DATA C8
DATA 89,1,1,MATH 10A
DATA 89,1,2,MATH 16A
DATA 89,1,3,MATH 1A
DATA 89,1,4,MATH 51
DATA 89,2,1,MATH 1A
DATA 89,3,1,MATH 51
DATA 89,4,1,COMPSCI 61A
DATA 89,4,2,DATA C8
DATA 89,4,3,DATA C88C
DATA 89,4,4,STAT 20
DATA 89,5,1,DATA C8
DATA C131A,1,1,STAT 20
DATA C131A,1,2,STAT C8
DATA C131A,2,1,MATH 10A
DATA C131A,2,2,MATH 10B
DATA C131A,2,3,MATH 16A
DATA C131A,2,4,MATH 1A
DATA C131A,2,5,MATH 51
DATA C131A,3,1,STAT 133
DATA C131A,3,2,STAT 33A
DATA C140,1,1,COMPSCI 61A
DATA C140,1,2,DATA C88C
DATA C140,1,3,STAT 20
DATA C140,1,4,STAT C8
DATA C140,2,1,MATH 1A
DATA C140,2,2,MATH 1B
DATA C140,2,3,MATH 51
DATA C140,2,4,MATH 52
DATA C140,3,1,ELENG 64
DATA C140,3,2,MATH 110
DATA C140,3,3,MATH 54
DATA C140,3,4,MATH 56
DATA C140,3,5,STAT C140
STAT C88S,1,1,MATH 10A
STAT C88S,1,2,MATH 16A
STAT C88S,1,3,MATH 1A
STAT C88S,1,4,MATH 51
STAT C88S,2,1,COMPSCI C8
STAT C88S,2,2,DATA C8
STAT C88S,2,3,INFO C8
STAT C88S,2,4,STAT C8
ECON 100A,1,1,ECON 1
ECON 100A,1,2,ECON 16A
ECON 100A,1,3,ECON 16B
ECON 100A,1,4,ECON 2
ECON 100A,1,5,ECON C3
ECON 100B,1,1,ECON 1
ECON 100B,1,2,ECON 16A
ECON 100B,1,3,ECON 2
ECON 101A,1,1,ECON 1
ECON 101A,1,2,ECON 2
ECON 101B,1,1,ECON 1
ECON 101B,1,2,ECON 2
ECON 101B,1,3,ECON 52
ECON 109,1,1,ECON 1
ECON 109,1,2,ECON 2
ECON 109,1,3,MATH 51
ECON 109,1,4,MATH 52
ECON 130,1,1,ECON 1
ECON 130,1,2,ECON 2
ECON 134,1,1,ECON 100B
ECON 134,1,2,ECON 101B
ECON 134,2,1,ECON 140
ECON 134,2,2,ECON 141
ECON 134,2,3,IAS C118
ECON 135,1,1,ECON 100B
ECON 135,1,2,ECON 101B
ECON 135,1,3,ECON 16A
ECON 135,1,4,ECON 16B
ECON 139,1,1,ECON 100A
ECON 139,1,2,ECON 101A
ECON 139,2,1,MATH 54
ECON 140,1,1,ECON 1
ECON 140,1,2,ECON 131A
ECON 140,1,3,ECON 135
ECON 140,1,4,ECON 2
ECON 140,1,5,ECON 21
ECON 140,1,6,ECON 88
ECON 141,1,1,ECON 1
ECON 141,1,2,ECON 131A
ECON 141,1,3,ECON 135
ECON 141,1,4,ECON 2
ECON 141,1,5,ECON 21
ECON 141,1,6,ECON 88
ECON 141,1,7,MATH 53
ECON 141,1,8,MATH 54
ECON 155A,1,1,ECON 100A
ECON 155A,1,2,ECON 101A
ECON 155A,1,3,ECON 140
ECON 155A,1,4,ECON 141
ECON 165,1,1,ECON 100B
ECON 165,1,2,ECON 101B
ECON 165,2,1,ECON 140
ECON 165,2,2,ECON 141
ECON 165,2,3,IAS C118
ECON 174,1,1,ECON 100A
ECON 174,1,2,ECON 100B
ECON 174,1,3,ECON 101A
ECON 174,1,4,ECON 101B
ECON 174,2,1,ECON 140
ECON 174,2,2,ECON 141
ECON 174,2,3,IAS C118
ENVECON C102,1,1,ECON 100A
ENVECON C102,1,2,ECON 100B
MATH C103,1,1,MATH 54
MATH C103,2,1,MATH 53
ENVECON C101,1,1,ECON 100A
ENVECON C101,1,2,ECON 101A
ENVECON C151,1,1,ECON 100A
ENVECON C151,1,2,ECON 101A
ENVECON C151,1,3,ENVECON 100
ENVECON C151,2,1,ECON 140
ENVECON C151,2,2,ECON 141
ENVECON C151,2,3,IAS C118
ECON C181,1,1,ECON 100A
ECON C181,1,2,ECON 100B
ECON C181,1,3,ECON 101A
ECON C181,1,4,ECON 101B
ECON C184,1,1,ECON 100A
ECON C184,1,2,ECON 101A
ECON C184,1,3,ENVECON 100
ENVECON C188,1,1,ECON 100
ENVECON C188,1,2,ECON 101A
ENVECON C188,1,3,ECON 140
ENVECON C188,1,4,ECON 141
ENVECON C188,1,5,ENVECON 100
EDSTEM 187,1,1,EDUC 131AC
EDUC C122,1,1,UGIS 82
EDUC 144,1,1,EDUC W144
EECS 126,1,1,COMPSCI 70
EECS 127,1,1,ELENG 64
EECS 127,1,2,ELENG 66
EECS 144,1,1,ELENG 66
EECS 144,2,1,ELENG 64
EECS 149,1,1,COMPSCI 70
EECS 149,2,1,COMPSCI 61C
EECS 149,3,1,ELENG 64
EECS 149,3,2,ELENG 66
EECS 151,1,1,ELENG 66
EECS 151,2,1,ELENG 64
EECS 151LA,1,1,ELENG 66
EECS 151LA,2,1,ELENG 64
EECS 151LA,3,1,COMPSCI 61C
EECS 151LB,1,1,ELENG 66
EECS 151LB,2,1,ELENG 64
EECS 151LB,3,1,COMPSCI 61C
EECS 151LB,4,1,ELENG 105
EECS 183,1,1,COMPSCI 188
EECS 183,1,2,COMPSCI 189
EECS 183,1,3,COMPSCI C182
EECS 47F,1,1,COMPSCI 61A
BIOENG C106A,1,1,ELENG 64
BIOENG C106A,1,2,ELENG 66
BIOENG C106A,1,3,MATH 54
BIOENG C106A,2,1,COMPSCI 61A
BIOENG C106A,3,1,COMPSCI 61B
EECS C128,1,1,ELENG 66
EECS C128,2,1,ELENG 120
EECS C128,3,1,MATH 110
ELENG 105,1,1,ELENG 66
ELENG 105,2,1,ELENG 64
ELENG 113,1,1,ELENG 108
ELENG 118,1,1,MATH 53
ELENG 118,2,1,ELENG 64
ELENG 118,2,2,ELENG 66
ELENG 118,2,3,MATH 54
ELENG 120,1,1,ELENG 66
ELENG 120,2,1,ELENG 64
ELENG 121,1,1,COMPSCI 70
ELENG 121,2,1,ELENG 66
ELENG 121,3,1,ELENG 64
ELENG 130,1,1,ELENG 66
ELENG 130,2,1,ELENG 64
ELENG 137A,1,1,ELENG 108
ELENG 142,1,1,ELENG 66
ELENG 142,2,1,ELENG 64
ELENG 143,1,1,PHYSICS 7B
ELENG 147,1,1,ELENG 66
ELENG 147,2,1,ELENG 64
ELENG 64,1,1,MATH 54
ELENG 66,1,1,MATH 54
ENGIN 178,1,1,ENGIN 7
ENGIN 178,2,1,MATH 51
ENGIN 178,3,1,MATH 51
ENGIN 178,4,1,MATH 53
ENGIN 178,5,1,MATH 54
ENGIN 29,1,1,ENGIN 26
ENGIN 40,1,1,MATH 54
ENGIN 40,2,1,PHYSICS 7B
ENGIN 40,3,1,CHEM 1B
ENGIN 7,1,1,MATH 52
ENGLISH 100,1,1,ENGLISH 90
ENGLISH H195A,1,1,ENGLISH 100
ENVDES 104,1,1,ENVDES 110
ENVECON 100,1,1,ECON 1
ENVECON 100,1,2,ECON C3
ENVECON 100,2,1,MATH 1A
ENVECON 100,2,2,MATH 1B
ENVECON 143,1,1,ECON 100A
ENVECON 143,1,2,ECON 101A
ENVECON 143,1,3,ENVECON 100
ENVECON 145,1,1,ECON 100
ENVECON 145,1,2,ECON 101A
ENVECON 152,1,1,ECON 100A
ENVECON 153,1,1,COMPSCI C8
ENVECON 153,1,2,ECON 100A
ENVECON 153,1,3,ECON 101A
ENVECON 153,1,4,ENVECON 100
ENVECON 153,1,5,INFO C8
ENVECON 153,1,6,MATH 54
ENVECON 153,1,7,STAT C8
ENVECON 161,1,1,ECON 100A
ENVECON 161,1,2,ECON 101A
IAS C175,1,1,ECON 1
EPS 108,1,1,PHYSICS 54
EPS 108,1,2,PHYSICS 7A
EPS 109,1,1,MATH 1A
EPS 122,1,1,PHYSICS 54
EPS 122,1,2,PHYSICS 7A
GEOG C139,1,1,PHYSICS 7C
GEOG C139,2,1,PHYSICS 7B
GEOG C139,3,1,PHYSICS 7A
ESPM 102D,1,1,ENVECON C1
ESPM 102D,1,2,ESPM 60
ESPM 108B,1,1,BIOLOGY 1A
ESPM 108B,1,2,BIOLOGY 1B
ESPM 115B,1,1,BIOLOGY 1A
ESPM 132,1,1,BIOLOGY 1A
ESPM 132,2,1,BIOLOGY 1B
ESPM 157,1,1,COMPSCI C8
ESPM 157,1,2,INFO C8
ESPM 157,1,3,STAT C8
ESPM 174,1,1,ESPM 173
ESPM 174,1,2,STAT 135
ESPM 182,1,2,ESPM 185
ESPM 185,1,1,ESPM 102A
INTEGBI C156,1,1,BIOLOGY 1A
INTEGBI C156,1,2,BIOLOGY 1B
INTEGBI C144,1,1,BIOLOGY 1A
INTEGBI C144,1,2,BIOLOGY 1B
INTEGBI C144,2,1,BIOLOGY 140
INTEGBI C144,3,1,BIOLOGY C160
ESPM C179A,1,1,CHEM 3AL
ETHSTD C199C,1,1,SOCIOL 116AC
FILM 185,1,1,FILM 85
FRENCH 121B,1,1,FRENCH 102
GERMAN 102B,1,1,GERMAN 4
GREEK 121,1,1,GREEK 100
GREEK 121,1,2,GREEK 102
GREEK 121,1,3,GREEK 105
HEBREW 20A,1,1,HEBREW 1A
HEBREW 20A,1,2,HEBREW 1B
HINDI 100A,1,1,HINDI 1A
HINDI 100A,1,2,HINDI 1B
HISTART R1B,1,1,ENGLISH 1A
INDENG 130,1,1,MATH 54
INDENG 130,1,2,STAT 134
INDENG 145,1,1,INDENG 162
INDENG 145,1,2,INDENG 169
INDENG 145,1,3,INDENG 172
