course_id,subject,course_number,title,description,requirements,academic_career,department
100002,AEROSPC,1A,Foundations of the U.S. Air Force,"This course introduces students to the United States Air Force (USAF) and Air Force Reserve Officer Training Corps (AFROTC) with an overview of the basic characteristics, missions, and organization of the Air Force; additional topics include officership and professionalism, Air Force career opportunities, military customs and courtesies, and an introduction to USAF basic communication skills. Additionally, AFROTC cadets must attend weekly Leadership Lab. Leadership Lab is a weekly laboratory that touches on the topics of Air Force customs and courtesies, health and physical fitness, and drills and ceremonies.",,UGRD,Military Affairs Program
100008,AEROSPC,2A,The Evolution of Air and Space Power,"This course is designed to provide a fundamental understanding of both leadership and team building. Students will learn that there are many layers to leadership, including aspects that do not always come to mind.  Such things include listening, understanding themselves, being a good follower, and problem solving efficiently. Students will apply these leadership perspectives when completing team building activities and discussing things like conflict management.  Students should demonstrate basic verbal and written communication skills.  Note: AFROTC cadets will apply these lessons at Leadership Lab and Field Training. ",,UGRD,Military Affairs Program
100018,AFRICAM,100,Black Intellectual Thought,"This course, lets students explore the status of African American studies as a discipline. The class will discuss the social relevance of African American studies, the political origins of the discipline, and the debate over Afrocentricity. Special attention will be devoted to the contributions of black feminist theory and community scholars/organic intellectuals to the development of the discipline.",Reading and composition requirement. ,UGRD,African American Studies
100019,AFRICAM,101,Research Methods for African American Studies,"As an introduction to interdisciplinary research methods as they are applied to the study of African American communities, the course will examine theoretical and conceptual issues; techniques for identifying existing research; and sources and methods of social research and data collection. The main focus will be on qualitative methods.",Introductory statistics. ,UGRD,African American Studies
100016,AFRICAM,10A,Intermediate Swahili,"This course reviews and expands students' knowledge of fundamental structures from Elementary Swahili and appropriate cultural contexts of these structures in oral and written communication. More grammar and vocabulary in a culturally and socially appropriate context is developed. Speaking ability is expanded through oral exercises, individual reports, class discussions, and recordings available at Berkeley Language Center. Writing and reading are expanded through compositions, written exercises, and independent reading projects with texts available through Berkeley's African Library Collection and supplemented by instructor's materials.",,UGRD,African American Studies
100032,AFRICAM,114,Introduction to African Linguistics,"The course will provide an overview of the linguistic structure of African languages. Because the Bantu languages constitute the largest sub-group in sub-Saharan Africa, there will be much focus on the description of the major grammatical features of Bantu languages. The descriptions of African linguistic structure will be accompanied by insights into the contributions made by African languages to general linguistics. Data from various African languages will be brought in to illustrate relevant aspects of African linguistic structure.",Equivalent of Linguistics 5 (Language and Linguistics) or consent of instructor. ,UGRD,African American Studies
100034,AFRICAM,116,Slavery and African American Life Before 1865,"This course will examine the origins of the African slave trade, and explore political, economic, demographic and cultural factors shaping African American life and culture prior to 1865.",,UGRD,African American Studies
100036,AFRICAM,118,The Slave Trade and Culture in the Modern Atlantic World,"The course explores the role of the transatlantic slave trade in the evolution of the Atlantic world, comprising four continents: Africa, Europe, and North and South America. Although the course will deal with various aspects of the slave trade, it will emphasize cultural themes. The discovery of fresh data and the application of more sophisticated techniques have in recent years combined with a growing willingness of specialists to speak to a wider audience and to wider social implications.",,UGRD,African American Studies
100024,AFRICAM,11A,Elementary Swahili,"This course introduces students to the basics of speaking, listening, reading, and writing in Swahili. Instruction is mixed English and Swahili. Emphasis is placed on developing student ability to create and to communicate with basic structures and vocabulary in culturally and socially appropriate context. Speaking and listening abilities are developed through oral exercises, class discussions, and recordings available from Berkeley Language Center. Reading and writing are developed through in-class exercises, independent reading projects, and compositions. This course not open to native or heritage speakers of Swahili. ",,UGRD,African American Studies
100054,AFRICAM,136,Criminal Justice and the Community,,,UGRD,African American Studies
156009,AFRICAM,136L,"Race, Policing and Surveillance in the U.S.","What is the relationship between the criminal justice system and surveillance in America? What role does power play in this relationship? How does this complicated relationship inform, reproduce, and engender understandings about race, class and sexuality? How has this relationship changed over time? How has technological change impacted this relationship? In this course, we will examine the relationship between the criminal justice system and the surveillance of vulnerable communities. We will examine social and historical trends, but our main focus will be on the evolution of this relationship since the mid-20th century, especially how this relationship developed in distressed urban neighborhoods in the post-Civil Rights era.
",,UGRD,African American Studies
100058,AFRICAM,139,Selected Topics of African American Social Organization and Institutions,Topics will vary each semester.,Determined by offering. ,UGRD,African American Studies
100071,AFRICAM,144,Introduction to Cultural Studies: Black Visual Culture,"This course examines theories of culture and contemporary issues in popular culture. The course focuses on the instrumentality of culture as a vehicle of domination and resistance. The goal of the course is to provide the student with a critical vocabulary for cultural analysis. Key issues to be examined are ideology, hegemony, articulation, race and gender formation. Students must have a willingness to engage new and difficult ideas.",Reading and composition requirement. ,UGRD,African American Studies
100086,AFRICAM,153C,Novels of Toni Morrison,"We will closely read seven of Nobel Laureate Toni Morrison's novels, as well as a short story and some of her essays, considering the works in relation to: her interest in creating what she calls ""village literature"" and in writing literature that does ""trope work"" that intervenes in American representations of blackness and racial identity; her contributions to the renaissance of black women's writing (and African American literature in general) in the 1980s and 1990s.",Satisfaction of the Reading and Composition requirement. ,UGRD,African American Studies
100094,AFRICAM,159,Special Topics in African American Literature,Special topics in African American literature.,"Reading and composition requirement, plus those set by instructor. ",UGRD,African American Studies
100072,AFRICAM,15A,Advanced Swahili,"This course reviews and expands students' knowledge from Intermediate Swahili. Oral and written communication will be presented in appropriate cultural contexts. Developing oral language skills will be strongly emphasized as part of this course and will be expanded through individual presentations, class discussions, and recordings available at the Berkeley Language Center. Writing, grammar, vocabulary and reading are expanded through compositions, written exercises, and independent reading projects with texts available through Berkeley's African Library Collection and supplemented by instructor's materials. ",,UGRD,African American Studies
125766,AFRICAM,165,African American Poetry: Eyes on the Prize,"In this course, we will read books by acclaimed African American poets who h­ave won Pulitzer Prizes, National Book Awards, and commendations from the Library of Congress. We will also examine book reviews, articles, and interviews that illuminate popular and critical responses to these authors and their work. The course is designed to teach students how different poems function?through close reading, and careful attention to poems? formal properties. Hard work is required; love of the genre and confidence in one?s ability to understand it is not (as the former U.S. Poet Laureate, Natasha Trethewey, admitted recently in an interview ?growing up, I didn't think I could understand poetry, I didn't think that it had any relevance to my life?).",,UGRD,African American Studies
157864,AFRICAM,18A,Elementary Amharic,"Amharic is one of the major languages of Ethiopia, spoken by over 21 million people there, and widely used by emigrants in the Diaspora. This course introduces the Amharic language and culture to both non-native and heritage language learners. The class primarily emphasizes listening, speaking, reading and writing through communicative activities, enabling students to perform various tasks in the target language. We will also become familiar with the Amharic or Geez alphabet.",,UGRD,African American Studies
157865,AFRICAM,18B,Elementary Amharic,"This course introduces students to more complex speaking, writing and listening exercise. The course covers different tasks of intermediate abstraction. It mainly focuses on speaking. The speaking is mostly carried out by students in dialogue, role play and narrative format.",,UGRD,African American Studies
147886,AFRICAM,194A,African American Theme Program Seminar,"This course will acquaint new students, specifically freshman and transfer students, with the understanding of the intellectual and academic university experience. The course develops critical inquiry and creative assessment skills through analyses of text, film and writing assignments at the university level.  The goals of the course: to introduce newly admitted and returning Blacks/African Americans to venues designed to encourage their achievement; introduce incoming freshman to critical and creative thinking through analytical skill development; to link students with key faculty, staff and students who may serve as an academic support network; and to provide history and context with respect to the experiential.  Course open to everyone.",,UGRD,African American Studies
147888,AFRICAM,195,Senior Capstone,"This three unit seminar is designed for all graduating African American Studies majors.  This course will guide majors in the process of consolidating their intellectual experience as they work toward carving out the next stage of their professional lives.  Drawing upon interdisciplinary methods and the unique opportunities the field offers for problem-solving, the seminar is concerned with underscoring the moveable academic skill set outside the ivory tower.  ",,UGRD,African American Studies
100105,AFRICAM,197,Field Study in African American Life,Supervised field work in off-campus organizations. Regular individual meetings with faculty sponsor and written reports required. Independent study form available in department office.,,UGRD,African American Studies
100107,AFRICAM,198BC,Berkeley Connect,"Berkeley Connect is a mentoring program, offered through various academic departments, that helps students build intellectual community. Over the course of a semester, enrolled students participate in regular small-group discussions facilitated by a graduate student mentor (following a faculty-directed curriculum), meet with their graduate student mentor for one-on-one academic advising, attend lectures and panel discussions featuring department faculty and alumni, and go on field trips to campus resources. Students are not required to be declared majors in order to participate.",,UGRD,African American Studies
100114,AFRICAM,24,Freshman Seminars,"The Berkeley Seminar Program has been designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small-seminar setting. Berkeley Seminars are offered in all campus departments, and topics vary from department to department and semester to semester.",,UGRD,African American Studies
100143,AFRICAM,27AC,"Race, Racism and Resistance in the United States","This course explores the role of race, racism and resistance in the United States from 1492 to the present. We do this by reading autobiographical works written by racial justice activists alongside works in the theory of racial formations. Together we ask: What is race? How do we define and recognize racism? How has race shaped the lives of Americans historically classified as minorities? And how have anti-racist intellectuals represented the personal and political struggles of racialized communities living in a white majority culture? To answer these questions we focus on the intersections of race, class and gender; immigration, labor and democracy; and the history of resistance to racial oppression from abolition to liberation and back.",,UGRD,African American Studies
162764,AFRICAM,40,Special Topics,"This course is designed to provide students with an opportunity to work closely with African American Studies faculty, investigating a topic of mutual interest in great depth. Designed primarily for lower division students and non-majors. Topics vary from semester to semester. 
",,UGRD,African American Studies
100181,AFRICAM,4A,Africa: History and Culture,"Emphasis on pre-colonial social, cultural, political, and economic structures; introduction to art, literature, oral traditions, and belief systems.",,UGRD,African American Studies
100183,AFRICAM,5A,African American Life and Culture in the United States,"A study of the genesis, development, and scope of African American culture, approached through an examination of selected art forms, historical themes, and intellectual currents.",,UGRD,African American Studies
100194,AFRICAM,98BC,Berkeley Connect,"Berkeley Connect is a mentoring program, offered through various academic departments, that helps students build intellectual community. Over the course of a semester, enrolled students participate in regular small-group discussions facilitated by a graduate student mentor (following a faculty-directed curriculum), meet with their graduate student mentor for one-on-one academic advising, attend lectures and panel discussions featuring department faculty and alumni, and go on field trips to campus resources. Students are not required to be declared majors in order to participate.",,UGRD,African American Studies
100195,AFRICAM,99,Supervised Independent Studies for Freshmen and Sophomores,Supervised research on specific topics related to African American Studies.,,UGRD,African American Studies
124139,EDUC,C181,What is the Role of Race in Urban Schools?,"This course will focus on understanding urban schools as a part of a broader system of social stratification and the process by which students in urban schools come to a sense of themselves as students, as members of cultural and racial groups, and as young people in America. Topics include racial identity; race/ethnicity in schools; urban neighborhood contexts; and schooling in the juvenile justice system. Students will also integrate course readings with their own first-hand experience working in one of several off-campus sites. This course has a mandatory community engagement component for which students will earn 1 unit of field study (197) credit.",,UGRD,Grad School of Education
100209,AFRICAM,R1B,Freshman Composition,"Continued training in expository and argumentative writing, with more emphasis on literary interpretation. Satisfies the second half of the Reading and Composition requirement.",UC Entry Level Writing Requirement and 1A. ,UGRD,African American Studies
103753,AGRS,10A,Introduction to Ancient Greece,"Study of the major developments, achievements, and contradictions in Greek culture from the Bronze Age to the 4th century BCE. Key works of literature, history, and philosophy (read in English translation) will be examined in their political and social context, and in relation both to other ancient Mediterranean cultures and to subsequent developments in Western civilization. ",,UGRD,Ancient Greek & Roman Studies
156006,AGRS,130E,The Trojan War: History or Myth?,"This course will explore the evidence for the Trojan War, one of the greatest stories ever told: literary, historical, visual and archaeological. The history of the search for the reality behind Homer's epic and its scholarship will be examined as well as detailed analyses of the theories currently in play. Through reading, visual analysis, discussion and writing - students will discover for themselves the ancient world of the heroes and their legends. Was there ever an actual war between two powerful Bronze Age Aegean cultures? Did Hektor and Achilles ever really clash on the battlefield? Was Helen really ""a face that launched 1000 ships?"" No knowledge of Greek or Latin required.",Upper division status.,UGRD,Ancient Greek & Roman Studies
156011,AGRS,130F,The History of Hell: Eschatology in Ancient Mediterranean Cultures,"In this course we will examine the history of ideas about the soul’s postmortem fate in the ancient Mediterranean world. We will focus on epic poets and philosophers from ancient Greece and Rome, but also
read comparative material from the ancient Near East, the Hebrew Bible, the New Testament, and medieval Christendom. Our goal will be to study the common threads that connect depictions of hell / the underworld in their respective cultural contexts. No knowledge of Greek or Latin required.",Upper division status.,UGRD,Ancient Greek & Roman Studies
162647,AGRS,130S,The God of the Philosophers in Ancient Greece,"In this course we will investigate the conceptions of divinity put forward by the principal philosophers
and philosophic schools of thought in ancient Greece. We will investigate their ideas both in relation
to the religious background of the time and as an exercise in abstract philosophic thinking. All texts
are to be read in translation.",,UGRD,Ancient Greek & Roman Studies
103769,AGRS,17A,Introduction to the Archaeology of the Greek World,"The physical remains of the Greek world from the Bronze Age to 323 BCE will be studied, with emphasis on its artistic triumphs, as a means of understanding the culture of ancient Greece. ",,UGRD,Ancient Greek & Roman Studies
103867,AGRS,24,Freshman Seminars,"The Berkeley Seminar Program has been designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small-seminar setting. Berkeley Seminars are offered in all campus departments, and topics vary from department to department and semester to semester. ",,UGRD,Ancient Greek & Roman Studies
103930,AGRS,R44,Classics of the Ancient Mediterranean World,"This course covers Homeric and Classical Greece, Rome in its transition from republic to empire, and the world of the Old Testament. Lectures, discussions, and reading assignments will involve interdisciplinary approaches with an emphasis on the development of skill in writing. Satisfies either half of the Reading and Composition requirement plus one of the following Letters and Science breath requirements: Arts and Literature, Historical Studies, or Social and Behavioral Sciences. ",Completion of UC Entry Level Writing Requirement. ,UGRD,Ancient Greek & Roman Studies
100349,AMERSTD,10,Introduction to American Studies,"American culture and cultural change, with attention to the multicultural basis of American society and emphasis on the need for multiple methods of analysis. The course will consistently draw on the arts, material culture, and various fields affecting cultural production and meaning. Those areas include literature, film, history, architecture, history of art, religion, music, engineering, environmental studies, anthropology, politics, economics, law, and medicine. This course may include discussion sections depending on available funding. Some versions of this course need four in-class contact hours because of the extensive use of media. ",,UGRD,UG Interdisciplinary Studies
100351,AMERSTD,101,Examining U.S. Cultures in Time,"This course examines how U.S. cultures are constructed, reinforced, and changed, and how those cultures act simultaneously at a given time. To help students develop skills in cultural analysis, lectures will contrast various methods and perspectives as they apply to the study of a particular year or decade. Topics will vary from semester to semester. This course may include discussion sections depending on available funding. Some versions of this course need four in-class contact hours because of the extensive use of media. ",,UGRD,UG Interdisciplinary Studies
100352,AMERSTD,101AC,Examining U.S. Cultures in Time,"This course examines how U.S. cultures are constructed, reinforced, and changed, and how those cultures act simultaneously at a given time. To help students develop skills in cultural analysis, lectures will contrast various methods and perspectives as they apply to the study of a particular year or decade. Topics will vary from semester to semester.",,UGRD,UG Interdisciplinary Studies
100353,AMERSTD,102,Examining U.S. Cultures in Place,"This course examines how U.S. cultures are constructed, reinforced, and changed--particularly in reference to place and material culture. Qualitative and quantitative methods of analysis drawn from several disciplines will help students develop skills in cultural interpretation. Case studies may focus on a neighborhood, a city, or a region. Topics will vary from semester to semester. This course may include discussion sections depending on available funding. Some versions of this course need four in-class contact hours because of the extensive use of media.",,UGRD,UG Interdisciplinary Studies
100354,AMERSTD,102AC,Examining U.S. Cultures in Place,"This course examines how U.S. cultures are constructed, reinforced, and changed--particularly in reference to place and material culture. Qualitative and quantitative methods of analysis drawn from several disciplines will help students develop skills in cultural interpretation. Case studies may focus on a neighborhood, a city, or a region. Topics will vary from semester to semester. ",,UGRD,UG Interdisciplinary Studies
100350,AMERSTD,10AC,Introduction to American Studies,"American culture and cultural change, with attention to the multicultural basis of American society and emphasis on the need for multiple methods of analysis. The course will consistently draw on the arts, material culture, and various fields affecting cultural production and meaning. Those areas include literature, film, history, architecture, history of art, religion, music, engineering, environmental studies, anthropology, politics, economics, law, and medicine.",,UGRD,UG Interdisciplinary Studies
100355,AMERSTD,110,Special Topics in American Studies,"This course is designed primarily to allow faculty to develop focused interdisciplinary courses which address specific issues, themes, or problems in American society. Topics vary from semester to semester. Students should consult the department's webpage for current offerings before the start of the semester.",,UGRD,UG Interdisciplinary Studies
124050,HISTORY,C139C,Civil Rights and Social Movements in U.S. History,"Beginning with the onset of World War II, America experienced not a sigular,unitary Civil Rights Movement -- as is typically portrayed in standard textbood accounts and the collective memory -- but rather a variety of contemporaneous civil rights and their related social movements. This course explores the history, presenting a top-down (political and legal history), bottom-up (social and cultural history), and comparative (by race and ethnicity as well as region) view of America's struggles for racial equality from roughly World War II until the present.",,UGRD,History
100472,AMERSTD,189,Research and Writing in American Studies,"This course is designed to encourage research skills, critical thinking, and effective writing. An intensive reading and research seminar, the course will assist students in the development of skills fundamental to advanced research in the humanities, social sciences, and cultural studies. In addition to examining some topics in current American studies scholarship, students will conduct semester-long research projects. The effort entails identification of research topics, cultivation of interdisciplinary methodologies, compilation of annotated bibliographies, and completion of a literature review, which may serve as the first portion of the American studies senior thesis. The course is strongly recommended for those who have been out of touch with the conventions of academic research and writing or who might wish to pursue a graduate degree in the future.",Intended for American studies majors. ,UGRD,UG Interdisciplinary Studies
100477,AMERSTD,24,Freshman Seminar,"The Freshman Seminar Program has been designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small seminar setting. Freshman seminars are offered in all campus departments, and topics vary from department to department and semester to semester. Enrollment limited to 15 freshmen.",,UGRD,UG Interdisciplinary Studies
123809,ENGLISH,C136,Topics in American Studies,"A course on the intellectual, cultural, historical, and social backgrounds to American literature. Topics will vary from semester to semester.",,UGRD,English
161679,GEOG,C160,"The American Landscape: Place, Power and Culture","What is America as a landscape and a place, and how do we know it when we see it? This course seeks to address such questions, to introduce ways of seeing and interpreting American histories and cultures, as revealed in everyday built surroundings—homes, highways, farms, factories, stores, recreation areas, small towns, city districts, and regions. It does so through the lens of cultural geography, an interdisciplinary practice that developed, in part, here at Berkeley. Our goal in this course is thus twofold: First, to develop literacy in the role of space and place in American culture, and second to develop a working knowledge of cultural geography as a practice.",,UGRD,Geography
123596,NATAMST,C152,Native American Literature,"An analysis of the written and oral tradition developed by Native Americans. Emphasis will be placed on a multifaceted approach (aesthetic, linguistic, psychological, historical, and cultural) in examining American Indian literature.",151 is recommended but not required. ,UGRD,Ethnic Studies
123863,LDARCH,C171,The American Designed Landscape Since 1850,"This course surveys the history of American landscape architecture since 1850 in four realms: 1) urban open spaces--that is squares, plazas, parks, and recreation systems; 2) urban and suburban design; 3) regional and environmental planning; 4) gardens. The course will review the cultural and social contexts which have shaped and informed landscape architecture in the United States since the advent of the public parks movement, as well as, the aesthetic precepts, environmental concerns, horticultural practices, and technological innovations of American landscapes. Students will complete a midterm, final, and a research assignment.",,UGRD,Landscape Arch & Env Plan
124421,UGBA,C172,History of American Business,"This course will examine selected aspects of the history of American business. Included will be discussions of the evolution of the large corporation, the development of modern managerial techniques, and the changing relationship of business, government, and labor.",,UGRD,Haas School of Business
100552,ANTHRO,106,Primate Behavior,"Humans, apes, and selected monkeys are the primates of concern, and among this array patterns and degrees of social behavior vary greatly. Lectures present a general introduction to behavior and its ecological context, the interaction of biology and behavior from an evolutionary perspective, and an examination of the roots of modern human behavior.",1 or Integrative Biology 32 recommended. ,UGRD,Anthropology
100562,ANTHRO,111,Evolution of Human Behavior,"This course will ask to what extent human behavior in its various individual, group, social, and cultural dimensions can be understood using the relatively small number of basic principles provided by evolutionary biological considerations.",,UGRD,Anthropology
100563,ANTHRO,112,Special Topics in Biological Anthropology,"Varying topics covering current discoveries, research, theories, fieldwork, etc., in biological anthropology. Topics vary with instructor.",Anthropology 1 recommended.,UGRD,Anthropology
100577,ANTHRO,121AC,American Material Culture,"Patterns in material culture as it reflects behavioral and psychological aspects of American culture since the 17th century. Topics include architecture, domestic artifacts, mortuary art, foodways, and trash disposal.",Anthropology 2 or consent of instructor.,UGRD,Anthropology
100581,ANTHRO,122A,Archaeology of the Americas: Archaeology of North America,"Archaeological understanding of ancestral cultures in North America from the end of the last ice age (ca. 20,000 years before the present) up to the time of sustained European contact (beginning ca. 500 years ago). Emphasis on variability of cultural expression in each region and historical continuities between archaeological materials and contemporary Native American communities. Topics include: earliest sites known to archaeology; development of foraging societies in the far west and far north; origins of agriculture and village life; and the emergence of politically complex societies in the southwest and Eastern Woodlands.",2. ,UGRD,Anthropology
100589,ANTHRO,123A,Old World Prehistory,"This course explores the dramatic developments in human evolution, behavior and culture that accompany the emergence of prehistoric human society, from our earliest Palaeolithic ancestors who first ventured out of Africa over a million years ago to the origins of settled farming economies and the first urban environments. Focusing on the Old World, we trace these interconnected transitions in Africa, Europe, the Middle East and Asia. The archaeological record forms our dataset, providing a rich record of economic and technological developments, settlement, architecture, burial practices, art, ideology, and social organization.",,UGRD,Anthropology
100603,ANTHRO,127A,Bioarchaeology: Introduction to Skeletal Biology and Bioarchaeology,"An introduction to skeletal biology and anatomy to understand how skeletal remains can be used in reconstructing patterns of adaptation and biocultural evolution in past populations, emphasizing a problem-based approach to bioarchaeological questions.","1, Biology 1B. ",UGRD,Anthropology
100608,ANTHRO,128M,Special Topics in Archaeology/Method,Special topics in archaeology which meet the method requirement for the anthropology major.,2 recommended. ,UGRD,Anthropology
100626,ANTHRO,136B,Introduction to Museum Methods,"This course will introduce participants to the fundamentals of contemporary museum practices. It is intended for two groups of students: individuals who may be thinking of conducting research in museums, and may benefit from an understanding of the way these institutions work; and individuals who may be thinking of museum work as a post-graduate career. The course will include both discussion of museum concepts and practical application of these concepts through real-world exercises. While the course fulfills the method requirement, it covers practices of art, natural history, and science museums as well. ",,UGRD,Anthropology
100641,ANTHRO,141,Comparative Society,"Theories of social structure, functional interrelationships of social institutions. Primary emphasis on non-Western societies.",3 or consent of instructor. ,UGRD,Anthropology
166669,ANTHRO,142,Climate Change and the Senses,"This course is intended to be an introduction for students interested in the critical study of climate change. It does so by pursuing questions about the psychic and social forms of life shaped by technologies used to understand, represent, and manage climate change.  Of primary concern is what these technologies tell us about the formation of subjectivity and how people sense changes in weather and climate over time.  We will explore a variety of cultural and historical locations, and a diverse set of ideas related to climate change such as catastrophe, uncertainty, the Anthropocene, and vulnerability.",ANTHROPOLOGY 3AC or Consent of instructor,UGRD,Anthropology
100651,ANTHRO,149,Psychological Anthropology,"In the contemporary world, different systems of knowledge, philosophies, and techniques of the self, understandings of normality and pathology, illness and healing, are increasingly engaged in a dialogue with each other in the lives, on the bodies, and in the imagination of people. The terms of this dialogue are often unequal and painful, yet they are also productive of new subjectivities and new voices. It is the task of a renewed psychological anthropology to study and reflect on these processes. Topics to be covered in this class include new forms of the subject and ethics at the intersection of psychical/psychiatric, political, and religious processes and discources; ethno-psychiatry, psychoanalysis, the psychology of colonization and racism; anthropological approaches to possession and altered states, emotion, culture, and the imagination, madness and mental illness. The specific stress will be on the stakes of anthropology of the psyche today, for an understanding of power and subjugation, delusion and the imagination, violence, and the possibility of new forms of life.",3 or consent of instructor. ,UGRD,Anthropology
