course_id,subject,course_number,title,description,requirements,academic_career,department,department_nicknames,typically_offered
163306,PUBPOL,297A,"Dismantling Racism in Planning, Design, and Public Policy Clinic","This Clinic seeks to develop students to advance an anti-racist future guided by the principles of love, healing, and justice.  Students are required to enroll in the companion theory course, EnvDes C231, Critical Race Theory in Planning, Design, and Public Policy.  This Clinic focuses on four areas of professional practice.  First, students are supervised by experienced professional practitioners.  Second, students will learn the framework of racial equity analysis through applied theoretical frameworks and case study pedagogy.  Third, students will apply the framework of racial equity analysis to real-world projects. Fourth, students will engage in reflection of their experiences through peer learning and regular journal entries.
",,GRAD,Goldman School Public Policy,,
107181,ENVECON,100,Intermediate Microeconomics with Applications to Sustainability,"Covers the basic microeconomic tools for further study of natural resource problems. Theory of consumption, production, theory of the firm, industrial organization, general equilibrium, public goods and externalities. Applications to agriculture and natural resources. ",C1 or Economics 1 or C3; and Mathematics 16A and 16B or Math 1A and 1B; or consent of instructor,UGRD,Ag & Resource Econ & Pol,,
107189,ENVECON,143,Economics of Innovation and Intellectual Property,"This course addresses the economics of research and incentives for innovation including intellectual property rights. Topics include the standard modern economics of invention; modern intellectual property rights; innovation examples from agriculture, energy, pharmaceuticals, software, and electronics; the roles of the public and private sectors; innovation and market structure; the needs of the poor; and global intellectual property negotiations. ",ENVECON 100 or ECON 100A or ECON 101A with minimum grade of C+,UGRD,Ag & Resource Econ & Pol,,
107190,ENVECON,145,Health and Environmental Economic Policy,This course introduces students to key issues and findings in the field of health and environmental economics. The first half of the course focuses on the theoreticl and statistical frameworks used to analyze instances of market failure in the provision of health and environmental goods. The second half focuses on policy-relevant empirical findings in the field.,"Intermediate microeconomics, 100, Economics 100 or 101A, and some statistics. ",UGRD,Ag & Resource Econ & Pol,,
166756,ENVECON,150,Energy and Environmental Economics Mentorship,"The course is designed to help students envision and prepare for a graduate program in energy and environmental economics by providing training, mentoring, and hands-on research experience. Students are assigned a mentor. Each mentor will have 2 - 3 students as mentees. Mentors are doctoral students who have an active research project within the energy and environmental economics field and have a desire to mentor undergraduate students interested in the field. The course includes weekly workshops for the class and weekly meetings for the mentors and mentees. The mentor meetings will be scheduled with the mentor. Mentees are
also expected to spend at least 6 hours per week on assignments given by the mentors and instructors.",,UGRD,Ag & Resource Economics,,
107192,ENVECON,152,Advanced Topics in Development and International Trade,"This course discusses recent efforts to understand behavior and institutions in village economies, with particular attention paid to the importance of risk. Economic analysis of savings, consumption, insurance, production, trade, welfare distribution and institutions of villages in developing countries. Roughly equal parts of theory, evidence, and policy.",100 or Economics 100A. ,UGRD,Ag & Resource Econ & Pol,,
107193,ENVECON,153,"Population, Environment, and Development","This course takes a quantitative, hands-on approach to understanding the challenges of feeding the human population of the planet Earth. We’ll discuss topics of nutrition, subsistence food consumption, and consumer demand for food to develop our understanding of the current situation. We’ll then develop both theories and computer models of population dynamics taking into account people’s decisions about childbearing, changes in mortality, and changes in food supply in order to learn something about the future of food. Focus throughout the course will be on developing practical tools to work with real-world data.","ENVECON 100 or ECON 100A or ECON 101A, and STAT C8 or INFO C8 or COMPSCI C8, and MATH 54 RECOMMENDED",UGRD,Ag & Resource Econ & Pol,,
107195,ENVECON,161,Advanced Topics in Environmental and Resource Economics,"The roots of environmental and resource economics. Theories of land and resource rent. Models of optimal use of renewable and nonrenewable resources with applications to energy and timber. Balancing environmental and extractive values. Resources, growth, and sustainability. Special topic: the problem of global climate change.",100 or Economics 100A or Economics 101A; 101 recommended. ,UGRD,Ag & Resource Econ & Pol,,
160153,ENVECON,185,"The Production and Business of Beer, Wine, and Spirits","Raw materials, process flow, production methodology and quality control will be introduced in the first half of the class
for the first half of the semester. Students will also be introduced to basic chemistry and microbiology of fermentation
and distilling. The second half of the semester will be an introduction to finance, cost accounting, sales and marketing for the alcoholic
beverage industry. The goal will be to enable the students to write a business plan by the end of the semester.",,UGRD,Ag & Resource Econ & Pol,,
107197,ENVECON,195,Senior Thesis,Writing of a thesis under the direction of member(s) of the faculty. Subject must be approved by faculty sponsor.,Senior standing in Environmental Economics and Policy and consent of instructor. ,UGRD,Ag & Resource Econ & Pol,,
107199,ENVECON,197,Field Study in Environmental Economics and Policy,Supervised experience in off-campus organizations relevant to specific aspects of environmental economics and policy. Regular individual meetings with faculty sponsor and written reports required. ,Consent of instructor. ,UGRD,Ag & Resource Econ & Pol,,
107201,ENVECON,199,Supervised Independent Study and Research,Enrollment restrictions apply. Open to qualified upper division students wishing to pursue special study and directed research under the direction of a member of the staff.,Upper division standing and consent of instructor. ,UGRD,Ag & Resource Econ & Pol,,
164116,ENVECON,199S,Sponsored Projects for Undergraduate Research (SPUR),The Sponsored Projects for Undergraduate Research (SPUR) program helps students get involved in research projects with world renowned faculty and staff researchers in the Rausser College of Natural Resource,,UGRD,Ag & Resource Econ & Pol,,
107208,ENVECON,39D,Freshman/Sophomore Seminar,Freshman and sophomore seminars offer lower division students the opportunity to explore an intellectual topic with a faculty member and a group of peers in a small-seminar setting. These seminars are offered in all campus departments; topics vary from department to department and from semester to semester.,Priority given to freshmen and sophomores. ,UGRD,Ag & Resource Econ & Pol,,
123890,IAS,C118,Introductory Applied Econometrics,"Formulation of a research hypothesis and definition of an empirical strategy. Regression analysis with cross-sectional and time-series data; econometric methods for the analysis of qualitative information; hypothesis testing. The techniques of statistical and econometric analysis are developed through applications to a set of case studies and real data in the fields of environmental, resource, and international development economics. Students learn the use of a statistical software for economic data analysis. ","Statistics 2, 20, 21, or equivalent",UGRD,IAS Teaching Program,,
124034,IAS,C175,The Economics of Climate Change,"The course will start with a brief introduction and evaluation of the scientific aspects behind climate change. Economic models will be developed to analyze the impacts of climate change and provide and critique existing and proposed policy tools. Specific topics studied are impacts on water resources and agriculture, economic evaluation of impacts, optimal control of greenhouse gases, benefit cost analysis, international treaty formation, discounting, uncertainty, irreversibility, and extreme events.","106, 107, Economics 1, or equivalent. ",UGRD,Interdisc Social Science Pgms,,
107233,ENVECON,H196,Honors Research,"Supervised independent honors research specific to aspects of environmental economics and policy, followed by a oral presentation and a written report.",Upper division standing. Eligibility restrictions related to GPA and unit accumulation. Open only to Environmental Economics and Policy majors in the College of Natural Resources. ,UGRD,Ag & Resource Econ & Pol,,
107252,EPS,100A,Minerals: Their Constitution and Origin,"Introduction to structural, compositional, and physical properties of minerals, their analogs and related substances, their genesis in various geological and synthetic processes, and laboratory techniques to identify and investigate minerals. One field trip to selected mineral deposits and visits to laboratories.",Some background in chemistry and physics. ,UGRD,Earth & Planetary Science,,
107254,EPS,101,Field Geology and Digital Mapping,"Geological mapping, field observation, and problem-solving in the Berkeley hills and environs leading to original interpretation of geological processes and history from stratigraphic, structural, and lithological investigations. Integration of the Berkeley hills geology into the Coast Ranges and California as a whole through field trips to key localities. Training in digital field mapping, global positioning systems, and laser surveying. Interdisciplinary focus encourages participation by nonmajors.",50 or equivalent introductory course in Earth and Planetary Science. ,UGRD,Earth & Planetary Science,,
107255,EPS,102,History and Evolution of Planet Earth,"Formation and evolution of the earth. Nucleosynthesis; formation of the solar system; planetary accretion; dating the earth and solar system; formation of the core, mantle, oceans, and atmosphere; plate tectonics; heat transfer and internal dynamics; stratigraphic record of environment, and evolution; climate history and climate change.",50,UGRD,Earth & Planetary Science,,
107257,EPS,104,Quantitative Approaches in Earth Systems,"The course will focus largely on the concepts of scaling and estimation – how can we reasonablyestimate some parameter within the Earth system (e.g., the viscosity of the Earth’s mantle) withlimited information and simplified approaches. We will also expand to discuss topics at theintersection of Earth Science and Data Science, including analyses of time-series data of past ice-age cycles and how these may be linked to the presence of Jupiter and Saturn, and therelationship between earthquake magnitude and the frequency of events. Finally, we will discusstopics in vector calculus, examining ground water flow and the origin of shear in ocean gyres.",,UGRD,Earth & Planetary Science,,
107262,EPS,108,Geodynamics,"Basic principles in studying the physical properties of earth materials and the dynamic processes of the earth. Examples are drawn from tectonics, mechanics of earthquakes, etc., to augment course material.","60, Physics 7A, or Mathematics 53, 54. ",UGRD,Earth & Planetary Science,,
